0,,,"Bad Strref"
1,,,"Balanced Quarterstaff"
4,,,"Tethyr"
7,,,"Long Spear"
9,,,"Abundant Step"
10,,,"Feat Type: Supernatural Ability
Requirements: Monk level 12
Specifics: At 12th level or higher, a monk can slip magically between spaces, as if using the spell dimension door, once per day. The caster level for this effect is one-half her monk level (rounded down)."
14,,,"*Brost"
15,,,"*Lockwood Falls"
16,,,"*Southspire"
17,,,"*Swamprise"
18,,,"*Tejarn"
19,,,"*Briarwood"
20,,,"*Golden Lion"
21,,,"*West Haven"
22,,,"*Spire Grove"
23,,,"*Marsh Grove"
24,,,"*Lake Grove"
25,,,"*Elf Grove"
26,,,"*Oak Grove"
27,,,"*Tejarn Grove"
28,,,"*Amn Grove"
29,,,"*Nonhostile Misc."
30,,,"*Hostile Misc."
31,,,"*Planar Creatures"
32,,,"*Assorted Summons"
33,,,"*Undead Creatures"
34,,,"*Blank Items"
35,,,"*Background Items"
36,,,"*On-Equip Items"
37,,,"*Loot 0"
38,,,"*Loot 1"
39,,,"*Loot 2"
40,,,"*Loot 3"
41,,,"*NPC Gear"
43,,,"<c002></c>Proficiency: History"
44,,,"You are knowledgeable about much of the history and culture of the realms. This advanced knowledge tends to have practical implications, at times."
45,,,"<c002></c>Proficiency: Astrology"
46,,,"Your advanced study of the celestial bodies in the sky imparts various insights regarding anything from the gods, the nature of magic, many divinations, and even the planes."
47,,,"<c002></c>Proficiency: Decipher Script"
48,,,"You have a specific area of expertise concerning the analysis of dead or forgotten languages. You can also break ciphers and other codes, with effort."
49,,,"<c002></c>Proficiency: Siege Engineering"
50,,,"You have been trained in the use of all conventional siege equipment and related weapons of war. You tend to be able to use your available materials to your advantage in this context."
51,,,"<c002></c>Proficiency: Survival"
52,,,"You have practiced survival skills and are better at keeping warm in harsh conditions amongst other practical benefits."
53,,,"<c002></c>Proficiency: Herbalism"
54,,,"You have the knowledge of various herbs and other flora and some magical reagents. Achemical processes, hearth wisdom, and even wizard's elixirs are encompassed by this ancient and esoteric art."
55,,,"<c002></c>Proficiency: Armoring"
56,,,"You have been trained extensively in the processes required to create and maintain the essential tools of soldiers and knights. People will travel for access to masterwork arms and armor, and you can provide what they seek."
57,,,"<c002></c>Proficiency: Carpentry"
58,,,"You can use the various tools required to prepare wooden items either as finished products or components sought by other craftsmen, such as hafts or stocks for other complex items."
59,,,"<c002></c>Proficiency: Tailoring"
60,,,"You can work with various hides to produce leathers and other sought after materials. You can also work with the loom and source various base materials for even finer products."
61,,,"<c002></c>Proficiency: Masonry"
62,,,"You have much of the knowledge used by builders over the ages. You're skilled in various tasks such as castle construction, but you also know of the secrets held in the earth and stone."
63,,,"<c002></c>Proficiency: Mining"
64,,,"You earned your knowledge of minerals and extracting valuable materials by swinging a pick for years. It takes a special eye to notice an ore vein, let alone the persistence required to work in such conditions."
65,,,"<c002></c>Proficiency: Hunting"
66,,,"You're skilled in handling game and making the best use of all the resources from your trapping. Using the right tool for the job, you might salvage things from various types of creatures."
67,,,"<c002></c>Proficiency: Wood Gathering"
68,,,"You're efficient with an ax and can quickly turn a felled tree into manageable portions of the best lumber."
69,,,"<c002></c>Proficiency: Tracking"
70,,,"You are skilled in the use of various methods for tracking animals or people through natural environments."
72,,,"Barbarians are brave, even reckless warriors, and their great strength and heartiness makes them well suited for adventure. Barbarians scornfully reject the fighter traditions of arms training and discipline, instead tapping into a powerful rage that makes them stronger, tougher, and better able to withstand attacks. They only have the energy for a few such displays per day, but it is usually sufficient. Constant exposure to danger also gives barbarians a sort of ""sixth sense,"" a preternatural ability to sense danger and dodge attacks, and their running stamina is legendary.

- Hit Die: d12.
- Proficiencies: All simple and martial weapons, light armor, medium armor, and shields.
- Skill Points (Int Modifier * 4 at 1st level): 4 + Int Modifier.
- Ex-Barbarians: Barbarians are unable to progress in levels if their alignment ever becomes lawful."
73,,,"Bards often serve as negotiators, messengers, scouts, and spies. They love to accompany heroes (and villains) to witness heroic (or villainous) deeds firsthand, since a bard who can tell a story from personal experience earns renown among his fellows. A bard casts arcane spells without any advance preparation, much like a sorcerer. His magic emphasizes charms and illusions, and the bard can also play an inspiring song that strengthens him and his allies. Bards also share some specialized skills with rogues, and their knowledge of item lore is nearly unmatched. 

WARNING: To cast a spell, a bard must have a Charisma score of 10 + the spell's level. For example, to cast a 3rd-level spell, a bard must have a Charisma of 13.

Standard Abilities:
- Hit Die: d6.
- Proficiencies: Proficient with simple weapons. Also proficient with light armor, medium armor, and shields.
- Skill Points (*4 at 1st level): 4 + Int Modifier.
- Spellcasting: Arcane (Charisma-based, no spell preparation, spell failure from armor is a factor); Bards begin the game knowing all cantrips.
- Ex-Bards: Bards cannot gain levels of experience while they are of any lawful alignment."
74,,,"Clerics act as intermediaries between the earthly and the divine (or infernal) worlds. A good cleric helps those in need, while an evil cleric seeks to spread his patron's vision of evil across the world. All clerics can heal wounds and bring people back from the brink of death, and powerful clerics can even raise the dead. Likewise, all clerics have authority over undead creatures, and they can turn away or even destroy these creatures. Clerics are trained in the use of simple weapons, and can use all forms of armor and shields without penalty, since armor does not interfere with the casting of divine spells. In addition to his normal complement of spells, every cleric chooses to focus on two of his deity's domains. These domains grants the cleric special powers, and give him access to spells that he might otherwise never learn. 

WARNING: To cast a spell, a cleric must have a Wisdom score of 10 + the spell's level. For example, to cast a 2nd-level spell, a cleric must have a Wisdom of 12.

- Hit Die: d8.
- Proficiencies: All simple weapons, all armor, and shields.
- Skill Points (*4 at 1st level): 2 + Int Modifier.
- Spellcasting: Divine (Wisdom-based, spell failure from armor is ignored).
"
75,,,"Druids are divine spellcasters who receive their spells from nature, not the gods. They strive to live in harmony with the natural world, and hate anything that is not part of the natural cycle, especially aberrations and undead creatures. As they gain experience, they learn to take the shapes of animals and eventually of more powerful creatures. The strict oaths taken by every druid prohibit using weapons and armor outside their tradition.

WARNING: To cast a spell, a druid must have a Wisdom score of 10 + the spell's level. For example, to cast a 4th-level spell, a druid must have a Wisdom of 14.

Milestone Roleplay Requirement: This class will requite the character to reach a milestone in game before being allowed to continue leveling in this class.

- Hit Die: d8.
- Proficiencies: Proficient with druidic weapons, as well as light and medium armor and shields.
- Skill Points (*4 at 1st level): 4 + Int Modifier.
- Spellcasting: Divine (Wisdom-based, armor-related chance of spell failure is ignored).
- Ex-Druids: A druid who is no longer neutral cannot gain levels."
76,,,"Fighters can be many things, from soldiers to criminal enforcers. Some see adventure as a way to get rich, while others use their skills to protect the innocent. Fighters have the best all-around fighting capabilities of the PC classes, and they are trained to use all standard weapons and armor. A fighter's rigorous martial training grants him many bonus feats as he progresses, and high-level fighters have access to special melee maneuvers and exotic weapons not available to any other character.

- Hit Die: d10.
- Proficiencies: All simple and martial weapons, all armor, and shields.
- Skill Points (*4 at 1st level): 2 + Int Modifier."
77,,,"Monks are versatile warriors skilled at fighting without weapons or armor. Good-aligned monks serve as protectors of the people, while evil monks make ideal spies and assassins. Though they don't cast spells, monks channel a subtle energy, called ki. This energy allows them to perform amazing feats, such as healing themselves, catching arrows in flight, and dodging blows with lightning speed. Their mundane and ki-based abilities grow with experience, granting them more power over themselves and their environment. Monks suffer unique penalties to their abilities if they wear armor, as doing so violates their rigid oaths. A monk wearing armor loses their Wisdom and level based armor class bonuses, their movement speed, and their additional unarmed attacks per round.

- Hit Die: d8.
- Proficiencies: Proficient with monk weapons.
- Skill Points (*4 at 1st level): 4 + Int Modifier."
78,,,"Paladins take their adventures seriously, and even a mundane mission is, in the heart of the paladin, a personal test - an opportunity to demonstrate bravery, to learn tactics, and to do good in the world. Divine power protects these warriors of virtue, warding off harm, protecting them from disease, healing them and their allies, and guarding against fear. Divine power also guides their sword arms, making them among the most effective warriors against undead and evil outsiders. Many of the paladin's special abilities also benefit from a high Charisma score.

WARNING: To cast a spell, a paladin must have a Wisdom score of 10 + the spell's level. For example, to cast a 2nd-level spell, a paladin must have a Wisdom of 12.

- Hit Die: d10.
- Proficiencies: All simple and martial weapons, all armor, and shields.
- Skill Points (*4 at 1st level): 2 + Int Modifier.
- Spellcasting: Paladin Spells. Divine (Wisdom based, armor-related chance of spell failure is ignored).
- Ex-Paladins: A paladin that is no longer lawful good cannot gain levels until their alignment is lawful good again.
"
79,,,"Rangers are skilled stalkers and hunters who make their home in the woods. Their martial skill is nearly the equal of the fighter, but they lack the latter's dedication to the craft of fighting. Instead, the ranger focuses his skills and training on a specific enemy - a type of creature he bears a vengeful grudge against and hunts above all others. Rangers often accept the role of protector, aiding those who live in or travel through the woods. His skills allow him to move quietly and stick to the shadows, especially in natural settings, and he also has special knowledge of certain types of creatures. Finally, an experienced ranger has such a tie to nature that he can actually draw on natural power to cast divine spells, much as a druid does, and like a druid he is often accompanied by animal companions. 

WARNING: To cast a spell, a ranger must have a Wisdom score of 10 + the spell's level. For example, to cast a 3rd-level spell, a ranger must have a Wisdom of 13.

- Hit Die: d8.
- Proficiencies: All simple and martial weapons, light and medium armor, and shields.
- Skill Points (*6 at 1st level): 6 + Int Modifier.
- Spellcasting: Ranger Spells. Divine (Wisdom based, armor-related chance of spell failure is ignored)."
80,,,"Rogues have little in common with each other. While some - maybe even the majority - are stealthy thieves, many serve as scouts, spies, investigators, diplomats, and simple thugs. Rogues are versatile, adaptable, and skilled at getting what others don't want them to get. While not equal to a fighter in combat, a rogue knows how to hit where it hurts, and a sneak attack can dish out a lot of damage. Rogues also seem to have a sixth sense when it comes to avoiding danger. Experienced rogues develop nearly magical powers and skills as they master the arts of stealth, evasion, and sneak attacks. In addition, while not capable of casting spells on their own, a rogue can sometimes ""fake it"" well enough to cast spells from scrolls, activate wands, and use just about any other magic item.

- Hit Die: d6.
- Proficiencies: Proficient with rogue weapons and light armor. Rogues are not proficient with shields.
- Skill Points (*4 at 1st level): 8 + Int Modifier."
